,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End
Region,February 2012,March 2012,April 2012,May 2012,June 2012,July 2012,August 2012,September 2012,October 2012,November 2012,December 2012,January 2013,February 2013,March 2013,April 2013,May 2013,June 2013,July 2013,August 2013,September 2013,October 2013,November 2013,December 2013,January 2014,February 2014,March 2014,April 2014,May 2014,June 2014,July 2014,August 2014,September 2014,October 2014,November 2014,December 2014,January 2015,February 2015,March 2015,April 2015,May 2015,June 2015,July 2015,August 2015,September 2015,October 2015,November 2015,December 2015,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022
"Maricopa County, AZ",75.5,78.3,82.3,86.3,87,87.3,88.6,91.1,92,95.6,94.8,96,98.3,101.9,105.2,106.1,108.8,110.3,110.6,110.7,112.5,112.2,113.5,112.7,114.6,115.9,115.4,115,116.2,116.5,115.6,115.2,115,115.3,118,117.1,118.5,120,121.7,123.7,124.4,123.3,123.5,124.4,125.9,124.9,127.9,127,127.7,129.9,132,132.5,133.2,132,133.2,134.3,134.8,135.9,135.8,136.3,138.3,139.5,140.7,142,143,142.4,142,143.9,144.5,145.9,146.8,148.6,150.6,151.7,153.1,155,155.1,155.1,156,155.3,157.3,158.1,157.4,158.4,160.7,160.6,162.9,163.4,162.3,163.5,163.4,166.1,169.1,170.4,170.2,172.3,174.5,178.3,178.3,177.3,179.1,182.6,186.9,190.4,194.7,196.9,199.5,203.7,209.6,216.2,225.4,232.9,238.3,241.6,243.6,248.4,251.7,256.4,257.6,262.6,270.4,279.1,287.3,292.8,290.3,282.7
